source_text,translated_text,context
Resolution,Giải pháp,
Resolution By,Giải quyết bởi,
Resolution Date,Ngày giải quyết,
Resolution Details,Chi tiết giải quyết,
Resolution Due,Hạn giải quyết,
Resolution Time,Thời gian giải quyết,
Resolutions,Giải pháp,
Resolve,Giải quyết,
Resolved,Đã giải quyết,
Resolved By,Giải quyết bởi,
Response and Resolution,Phản hồi và giải quyết,
Response By,Phản hồi bởi,
Response Details,Chi tiết phản hồi,
Response Key List,Danh sách khoá phản hồi,
Response Options,Tuỳ chọn phản hồi,
Response Result Key Path,Đường dẫn khoá kết quả phản hồi,
Response Time for {0} priority in row {1} can't be greater than Resolution Time.,Thời gian phản hồi cho mức ưu tiên {0} ở dòng {1} không thể lớn hơn Thời gian giải quyết.,
Responsible,Phụ trách,
Rest Of The World,Phần còn lại của thế giới,
Restart,Khởi động lại,
Restart Failed Entries,Chạy lại các bút toán lỗi,
Restart Subscription,Khởi động lại đăng ký,
Restore Asset,Khôi phục tài sản,
Restrict,Hạn chế,
Restrict Items Based On,Hạn chế mặt hàng dựa trên,
Restrict to Countries,Giới hạn theo quốc gia,
Result Key,Khoá kết quả,
Result Preview Field,Trường xem trước kết quả,
Result Route Field,Trường tuyến kết quả,
Result Title Field,Trường tiêu đề kết quả,
Resume,Tiếp tục,
Resume Job,Tiếp tục công việc,
Resume Timer,Tiếp tục bộ đếm giờ,
Retail & Wholesale,Bán lẻ & Bán buôn,
Retailer,Nhà bán lẻ,
Retain Sample,Giữ mẫu lưu,
Retained Earnings,Lợi nhuận sau thuế chưa phân phối,
Retention Stock Entry,Phiếu kho lưu mẫu,
Retention Stock Entry already created or Sample Quantity not provided,Phiếu kho lưu mẫu đã được tạo hoặc Số lượng mẫu chưa được cung cấp,
Retried,Đã thử lại,
Retry Failed Transactions,Thử lại các giao dịch thất bại,
Return,Trả hàng,
Return / Credit Note,Trả hàng / Hoá đơn điều chỉnh giảm,
Return / Debit Note,Trả hàng / Hoá đơn điều chỉnh tăng,
Return Against,Trả hàng theo,
Return Against Delivery Note,Trả hàng theo Phiếu giao hàng,
Return Against Purchase Invoice,Trả hàng theo Hoá đơn mua hàng,
Return Against Purchase Receipt,Trả hàng theo Phiếu nhập hàng,
Return Against Subcontracting Receipt,Trả hàng theo Phiếu nhập gia công ngoài,
Return Components,Trả lại linh kiện,
Return invoice of asset cancelled,Hoá đơn hoàn trả tài sản đã huỷ,
Return Issued,Đã phát sinh trả hàng,
Return of Components,Trả lại linh kiện,
Return on Asset Ratio,Tỷ suất sinh lời trên tài sản (ROA),
Return on Equity Ratio,Tỷ suất sinh lời trên vốn chủ sở hữu (ROE),
Return Qty,SL trả hàng,
Return Qty from Rejected Warehouse,SL trả lại từ Kho hàng từ chối,
Return Raw Material to Customer,Trả lại nguyên vật liệu cho khách hàng,
returned,đã trả,
Returned,Đã trả,
Returned Against,Trả theo,
Returned Amount,Số tiền hàng trả lại,
Returned exchange rate is neither integer not float.,Tỷ giá hối đoái trả về không phải số nguyên hoặc số thực.,
Returned Qty,SL đã trả,
Returned Qty in Stock UOM,SL đã trả theo ĐVT kho,
Returned Quantity,SL đã trả,
Returns,Trả hàng,
Revaluation Journals,Bút toán đánh giá lại,
Revaluation Surplus,Thặng dư đánh giá lại,
Revenue,Doanh thu,
Reversal Of,Đảo ngược của,
Reverse Journal Entry,Bút toán đảo,
Reverse Sign,Đảo dấu,
Review Accounts Settings,Xem lại Cài đặt tài khoản,
Review and Action,Xem xét và hành động,
Review Buying Settings,Xem lại Cài đặt mua hàng,
Review Chart of Accounts,Xem lại Hệ thống tài khoản,
Review Date,Ngày đánh giá,
Review Manufacturing Settings,Xem lại Cài đặt sản xuất,
Review Selling Settings,Xem lại Cài đặt bán hàng,
Review Stock Settings,Xem lại Cài đặt kho,
Review System Settings,Xem lại Cài đặt hệ thống,
Reviews,Đánh giá,
Revise Budget,Điều chỉnh ngân sách,
Revision cancelled,Bản sửa đổi đã huỷ,
Revision Of,Bản sửa đổi của,
RFQ and Purchase Order Settings,Cài đặt RFQ và Đơn mua hàng,
RFQs are not allowed for {0} due to a scorecard standing of {1},RFQ không được phép cho {0} do điểm xếp hạng là {1},
rgt,Phải,
Rgt,Phải,
Right Child,Con phải,
Right Index,Chỉ mục phải,
Ringing,Đang đổ chuông,
Rod,Thanh,
Role allowed to bypass Credit Limit,Vai trò được phép vượt hạn mức tín dụng,
Role allowed to bypass period restrictions.,Vai trò được phép bỏ qua giới hạn kỳ kế toán.,
Role Allowed to Create/Edit Back-dated Transactions,Vai trò được phép tạo/sửa giao dịch hồi tố,
Role Allowed to Edit Frozen Stock,Vai trò được phép sửa tồn kho bị khoá,
Role Allowed to Over Bill,Vai trò được phép xuất hoá đơn vượt,
Role Allowed to Over Deliver/Receive,Vai trò được phép giao/nhận vượt mức,
Role Allowed to Override Stop Action,Vai trò được phép ghi đè hành động dừng,
Role to Notify on Depreciation Failure,Vai trò được thông báo khi khấu hao thất bại,
Roles Allowed to Set and Edit Frozen Account Entries,Vai trò được phép thiết lập và sửa Bút toán tài khoản đã khoá,
Root,Gốc,
Root cannot be edited.,Không thể chỉnh sửa gốc.,
Root cannot have a parent cost center,Gốc không thể có trung tâm chi phí cha,
Root Company,Công ty gốc,
Root Type,Loại gốc,
"Root Type for {0} must be one of the Asset, Liability, Income, Expense and Equity","Loại gốc cho {0} phải là một trong các loại: Tài sản, Nợ phải trả, Thu nhập, Chi phí và Vốn chủ sở hữu",
Root Type is mandatory,Loại gốc là bắt buộc,
Round Free Qty,Làm tròn SL hàng tặng,
Round Off,Làm tròn số,
Round Off Account,Tài khoản làm tròn,
Round Off Cost Center,Trung tâm chi phí làm tròn,
Round Off for Opening,Làm tròn số dư đầu kỳ,
Round Off Tax Amount,Làm tròn tiền thuế,
Round Tax Amount Row-wise,Làm tròn tiền thuế theo từng dòng,
Rounded Total (Company Currency),Tổng làm tròn (Tệ CT),
Rounding Adjustment,Điều chỉnh làm tròn,
Rounding Adjustment (Company Currency,Điều chỉnh làm tròn (Tệ CT,
Rounding Adjustment (Company Currency),Điều chỉnh làm tròn (Tệ CT),
Rounding gain/loss Entry for Stock Transfer,Bút toán lãi/lỗ làm tròn cho chuyển kho,
Rounding Loss Allowance,Mức chênh lệch làm tròn cho phép,
Rounding Loss Allowance should be between 0 and 1,Mức chênh lệch làm tròn cho phép phải từ 0 đến 1,
Routing,Định tuyến,
Routing Name,Tên định tuyến,
Row {0} : Operation is required against the raw material item {1},Dòng {0}: Thao tác là bắt buộc đối với nguyên vật liệu {1},
"Row {0} picked quantity is less than the required quantity, additional {1} {2} required.","Dòng {0}: SL đã chọn ít hơn SL yêu cầu, cần thêm {1} {2}.",
Row {0}: {1} {2} cannot be same as {3} (Party Account) {4},Dòng {0}: {1} {2} không thể giống {3} (Tài khoản đối tác) {4},
Row {0}: {1} {2} does not match with {3},Dòng {0}: {1} {2} không khớp với {3},
Row {0}: {1} {2} is linked to company {3}. Please select a document belonging to company {4}.,Dòng {0}: {1} {2} liên kết với công ty {3}. Vui lòng chọn tài liệu thuộc công ty {4}.,
Row {0}: {1} account already applied for Accounting Dimension {2},Dòng {0}: Tài khoản {1} đã áp dụng cho Chiều kế toán {2},
Row {0}: {1} must be greater than 0,Dòng {0}: {1} phải lớn hơn 0,
Row {0}: {2} Item {1} does not exist in {2} {3},Dòng {0}: {2} Mặt hàng {1} không tồn tại trong {2} {3},
Row {0}: Accepted Qty and Rejected Qty can't be zero at the same time.,Dòng {0}: SL chấp nhận và SL từ chối không thể đều bằng 0.,
Row {0}: Account {1} and Party Type {2} have different account types,Dòng {0}: Tài khoản {1} và Loại đối tác {2} có loại tài khoản khác nhau,
Row {0}: Activity Type is mandatory.,Dòng {0}: Loại hoạt động là bắt buộc.,
Row {0}: Advance against Customer must be credit,Dòng {0}: Tạm ứng đối ứng khách hàng phải là ghi Có,
Row {0}: Advance against Supplier must be debit,Dòng {0}: Tạm ứng đối ứng nhà cung cấp phải là ghi Nợ,
Row {0}: Allocated amount {1} must be less than or equal to invoice outstanding amount {2},Dòng {0}: Số tiền phân bổ {1} phải nhỏ hơn hoặc bằng số tiền còn nợ của hoá đơn {2},
Row {0}: Allocated amount {1} must be less than or equal to remaining payment amount {2},Dòng {0}: Số tiền phân bổ {1} phải nhỏ hơn hoặc bằng số tiền thanh toán còn lại {2},
"Row {0}: As {1} is enabled, raw materials cannot be added to {2} entry. Use {3} entry to consume raw materials.","Dòng {0}: Vì {1} được bật, không thể thêm nguyên vật liệu vào phiếu {2}. Hãy dùng phiếu {3} để tiêu hao nguyên vật liệu.",
Row {0}: Bill of Materials not found for the Item {1},Dòng {0}: Không tìm thấy BOM cho Mặt hàng {1},
Row {0}: Both Debit and Credit values cannot be zero,Dòng {0}: Giá trị Nợ và Có không thể đều bằng 0,
"Row {0}: Consumed Qty {1} {2} must be less than or equal to Available Qty For Consumption
					{3} {4} in Consumed Items Table.",Dòng {0}: SL tiêu hao {1} {2} phải nhỏ hơn hoặc bằng SL có sẵn để tiêu hao {3} {4} trong Bảng mặt hàng tiêu hao.,
Row {0}: Conversion Factor is mandatory,Dòng {0}: Hệ số quy đổi là bắt buộc,
Row {0}: Cost Center {1} does not belong to Company {2},Dòng {0}: Trung tâm chi phí {1} không thuộc Công ty {2},
Row {0}: Cost center is required for an item {1},Dòng {0}: Trung tâm chi phí là bắt buộc cho mặt hàng {1},
Row {0}: Credit entry can not be linked with a {1},Dòng {0}: Bút toán Có không thể liên kết với {1},
Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},Dòng {0}: Tiền tệ của BOM #{1} phải bằng tiền tệ đã chọn {2},
Row {0}: Debit entry can not be linked with a {1},Dòng {0}: Bút toán Nợ không thể liên kết với {1},
Row {0}: Delivery Warehouse ({1}) and Customer Warehouse ({2}) can not be same,Dòng {0}: Kho giao hàng ({1}) và Kho khách hàng ({2}) không thể giống nhau,
Row {0}: Delivery Warehouse cannot be same as Customer Warehouse for Item {1}.,Dòng {0}: Kho giao hàng không thể giống Kho khách hàng cho Mặt hàng {1}.,
Row {0}: Due Date in the Payment Terms table cannot be before Posting Date,Dòng {0}: Hạn thanh toán trong bảng Điều khoản thanh toán không thể trước Ngày ghi sổ,
Row {0}: Either Delivery Note Item or Packed Item reference is mandatory.,Dòng {0}: Bắt buộc tham chiếu Mặt hàng phiếu giao hàng hoặc Mặt hàng đóng gói.,
Row {0}: Exchange Rate is mandatory,Dòng {0}: Tỷ giá hối đoái là bắt buộc,
Row {0}: Expected Value After Useful Life cannot be negative,Dòng {0}: Giá trị dự kiến sau thời gian hữu dụng không thể âm,
Row {0}: Expected Value After Useful Life must be less than Net Purchase Amount,Dòng {0}: Giá trị dự kiến sau thời gian hữu dụng phải nhỏ hơn Giá trị mua thuần,
Row {0}: Expense Account {1} is linked to company {2}. Please select an account belonging to company {3}.,Dòng {0}: Tài khoản chi phí {1} liên kết với công ty {2}. Vui lòng chọn tài khoản thuộc công ty {3}.,
Row {0}: Expense Head changed to {1} as no Purchase Receipt is created against Item {2}.,Dòng {0}: Đầu chi phí đã đổi thành {1} vì không có Phiếu nhập hàng nào được tạo cho Mặt hàng {2}.,
Row {0}: Expense Head changed to {1} because account {2} is not linked to warehouse {3} or it is not the default inventory account,Dòng {0}: Đầu chi phí đổi thành {1} vì tài khoản {2} không liên kết với kho {3} hoặc không phải tài khoản tồn kho mặc định,
Row {0}: Expense Head changed to {1} because expense is booked against this account in Purchase Receipt {2},Dòng {0}: Đầu chi phí đổi thành {1} vì chi phí được hạch toán vào tài khoản này trong Phiếu nhập hàng {2},
"Row {0}: For Supplier {1}, Email Address is Required to send an email","Dòng {0}: Đối với NCC {1}, cần Địa chỉ email để gửi email",
Row {0}: From Time and To Time is mandatory.,Dòng {0}: Giờ bắt đầu và Giờ kết thúc là bắt buộc.,
Row {0}: From Time and To Time of {1} is overlapping with {2},Dòng {0}: Giờ bắt đầu và Giờ kết thúc của {1} bị chồng chéo với {2},
Row {0}: From time must be less than to time,Dòng {0}: Giờ bắt đầu phải nhỏ hơn giờ kết thúc,
Row {0}: From Warehouse is mandatory for internal transfers,Dòng {0}: Kho xuất là bắt buộc cho chuyển kho nội bộ,
Row {0}: Hours value must be greater than zero.,Dòng {0}: Giá trị giờ phải lớn hơn 0.,
Row {0}: Invalid reference {1},Dòng {0}: Tham chiếu không hợp lệ {1},
Row {0}: Item {1} must be a stock item.,Dòng {0}: Mặt hàng {1} phải là hàng tồn kho.,
Row {0}: Item {1} must be a subcontracted item.,Dòng {0}: Mặt hàng {1} phải là mặt hàng gia công ngoài.,
Row {0}: Item {1} must be linked to a {2}.,Dòng {0}: Mặt hàng {1} phải được liên kết với {2}.,
Row {0}: Item {1}'s quantity cannot be higher than the available quantity.,Dòng {0}: Số lượng của Mặt hàng {1} không thể lớn hơn số lượng khả dụng.,
Row {0}: Item rate has been updated as per valuation rate since its an internal stock transfer,Dòng {0}: Đơn giá mặt hàng đã cập nhật theo Giá định giá vì đây là chuyển kho nội bộ,
Row {0}: Item Tax template updated as per validity and rate applied,Dòng {0}: Mẫu thuế hàng hoá đã cập nhật theo hiệu lực và thuế suất áp dụng,
Row {0}: Operation time should be greater than 0 for operation {1},Dòng {0}: Thời gian thao tác phải lớn hơn 0 cho thao tác {1},
Row {0}: Packed Qty must be equal to {1} Qty.,Dòng {0}: SL đã đóng gói phải bằng SL của {1}.,
Row {0}: Packing Slip is already created for Item {1}.,Dòng {0}: Phiếu đóng gói đã được tạo cho Mặt hàng {1}.,
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},Dòng {0}: Đối tác / Tài khoản không khớp với {1} / {2} trong {3} {4},
Row {0}: Party Type and Party is required for Receivable / Payable account {1},Dòng {0}: Loại đối tác và Đối tác là bắt buộc cho tài khoản phải thu / phải trả {1},
Row {0}: Payment against Sales/Purchase Order should always be marked as advance,Dòng {0}: Thanh toán theo Đơn bán/Đơn mua hàng luôn phải được đánh dấu là tạm ứng,
